Institution,CatalogNo,Sex,Age,Year,Month,Day,Long,Lat,Coordinate.Uncertainty.M,Coordinate.Precision.M,Genus,Species,Mass.g
KU,32701,Male,Unknown,1955,7,6,-156.8166667,71.2833333,,,Picoides,villosus,58
KU,37764,Male,Unknown,1953,7,13,-104.6833333,27.9333333,,,Colaptes,auratus,121
KU,37833,Male,Unknown,1959,7,3,-104.6833333,27.9333333,,,Colaptes,auratus,117
KU,37834,Male,Unknown,1959,7,2,-104.6833333,27.9333333,,,Colaptes,auratus,130
KU,37836,Male,Unknown,1959,7,6,-104.6833333,27.9333333,,,Colaptes,auratus,130.2
KU,37847,Male,Unknown,1959,7,12,-104.6833333,27.9333333,,,Melanerpes,formicivorus,70
KU,37848,Male,Unknown,1959,7,13,-104.6833333,27.9333333,,,Melanerpes,formicivorus,64.1
KU,37849,Male,Unknown,1959,7,17,-104.6833333,27.9333333,,,Melanerpes,formicivorus,62.4
KU,37850,Male,Unknown,1959,7,17,-104.6833333,27.9333333,,,Melanerpes,formicivorus,66
KU,84181,Male,Unknown,1989,7,7,-69.05,12.55,,,Picumnus,aurifrons,8.6
KU,131191,Male,Unknown,2013,1,15,-95.2066667,39.0316667,,,Colaptes,auratus,107.6
KU,86758,Male,Unknown,1990,8,19,-77.5,-2.3666667,,,Celeus,grammicus,81
KU,86925,Male,Unknown,1995,4,8,-82.25,8.7333333,,,Picoides,fumigatus,33
KU,86926,Male,Unknown,1995,4,13,-82.25,8.7333333,,,Picoides,fumigatus,32.5
KU,87969,Male,Unknown,1995,10,23,-60.3166667,-20.4333333,,,Picumnus,cirratus,7.4
KU,88155,Male,Unknown,1996,4,2,-57.8833333,5.6666667,,,Piculus,flavigula,58.3
KU,88418,Male,Unknown,1996,11,12,-55.5166667,-26.35,,,Celeus,flavescens,157
KU,88948,Male,Unknown,1997,9,28,-60.4833333,7.3666667,,,Celeus,elegans,159
KU,88949,Male,Unknown,1997,9,22,-60.4833333,7.3666667,,,Celeus,undatus,71.1
KU,88954,Male,Unknown,1997,9,25,-60.4833333,7.3666667,,,Picumnus,exilis,9
KU,88955,Male,Unknown,1997,10,1,-60.4833333,7.3666667,,,Melanerpes,cruentatus,60.5
KU,89387,Male,Unknown,1998,3,6,-90.2,18.2333333,,,Picoides,fumigatus,33.5
KU,89388,Male,Unknown,1998,2,28,-88.5666667,21.4666667,,,Melanerpes,pygmaeus,38
KU,89389,Male,Unknown,1998,2,26,-88.5666667,21.4666667,,,Melanerpes,aurifrons,73
KU,89712,Male,Unknown,1998,9,14,-58.9333333,1.3833333,,,Piculus,flavigula,58
KU,89717,Male,Unknown,1998,8,23,-58.95,1.4166667,,,Celeus,flavus,103
