Institution,CatalogNo,Sex,Age,Year,Month,Day,Long,Lat,Genus,Species,Mass.g,bcpic,bio10,bio11,bio12,bio16,bio17,Comp.1,Comp.2,Comp.3,Comp.4,Comp.5
MVZ,84417,Male,Adult,1942,1,15,-123.47623,40.4313,Picoides,pubescens,27.6,5,168,35,1407,722,37,-1.00769781037605,-0.40609236901725,-1.48325690473266,-0.568390674873599,0.0012917886188534
MVZ,95562,Male,Adult,1946,6,7,-123.49373,40.61736,Picoides,pubescens,25.6,5,190,48,1264,653,33,-0.916429867400831,0.148702446361122,-1.18837946969296,-0.539529078542551,0.0124628516424667
MVZ,84411,Unknown,Adult,1942,1,3,-124.130089,41.1633994,Picoides,pubescens,30.1,5,145,80,1460,710,48,-1.17940586378831,-0.599333071110713,-1.76939109216563,0.0726516293691602,-0.0956393218732773
MVZ,39779,Female,Adult,1919,8,7,-131.9167,57.1833,Picoides,villosus,78,5,118,-65,1151,417,181,0.106786852182433,-2.11585817535906,0.057782714438718,0.223820699956347,0.0451710245880299
MVZ,87475,Female,Adult,1942,8,31,-123.4568,40.45807,Picoides,villosus,66.5,5,164,30,1367,697,38,-0.870004500003194,-0.463544644708798,-1.45469501377824,-0.513108399342391,-0.00598482875823816
MVZ,180536,Female,Adult,2003,11,10,-123.75047,39.35739,Picoides,villosus,61,5,146,76,1123,566,22,-0.431494516983944,-0.205893556039349,-1.68052169114612,0.272211916589223,-0.0953017486118806
UMMZ,218025,Female,Adult,1970,5,8,-133,54.2333333,Picoides,villosus,79.1,5,126,31,1866,693,279,-2.13360394729541,-2.51690021925912,0.105454984130347,0.632914237185764,0.0766832101513294
MVZ,141231,Female,Adult,1959,4,21,-149.7972222222,61.0561111111,Picoides,villosus,83.9,5,133,-87,489,207,62,1.70832144721612,-0.922163485095194,-0.275698549049705,-0.00582982158020287,0.0251540071900223
MVZ,141230,Female,Adult,1959,4,15,-149.7972222222,61.0561111111,Picoides,villosus,81.3,5,133,-87,489,207,62,1.70832144721612,-0.922163485095194,-0.275698549049705,-0.00582982158020287,0.0251540071900223
MVZ,124645,Female,Adult,1951,11,2,-122.1128861,40.8288238,Picoides,villosus,60.1,5,233,63,1572,773,42,-1.84602077612749,0.622137901812266,-0.937935920936854,-1.1101958773305,-0.037932807010336
MVZ,152577,Female,Adult,1964,6,23,-122.2900123,42.7531053,Picoides,villosus,68.3,5,124,-22,1285,622,79,-0.282622882309154,-1.48498545059858,-1.23625583146565,-0.236745237821138,0.0397616821948623
